epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,83.5341,0.07768,0.99457,1,0.01935,0.000549692,0.000549692,0.000549692
2,168.917,0.07274,1,1,0.00424,0.000886497,0.000886497,0.000886497
3,233.773,0.07699,1,1,0.00884,0.00100326,0.00100326,0.00100326
4,306.102,0.07368,1,1,0.00395,0.000676802,0.000676802,0.000676802
5,374.857,0.06834,1,1,0.00447,0.000346736,0.000346736,0.000346736
